05-05-21;00:12;19;93;1;1;0
05-05-21;00:42;20;93;1;1;0
05-05-21;01:12;20;93;1;1;0
05-05-21;01:42;20;93;1;1;0
05-05-21;02:12;20;93;1;1;0
05-05-21;02:42;20;93;1;1;0
05-05-21;03:12;20;93;1;1;0
05-05-21;03:42;20;93;1;1;0
05-05-21;04:12;17;92;1;1;0
05-05-21;04:42;14;91;1;1;0
05-05-21;05:12;13;91;1;1;0
05-05-21;05:42;12;90;1;0;0
05-05-21;06:12;12;90;1;0;0
05-05-21;06:42;12;90;1;0;0
05-05-21;07:12;12;90;0;0;0
05-05-21;07:42;13;91;0;0;0
05-05-21;08:12;13;91;0;0;1
05-05-21;08:42;14;91;0;0;1
05-05-21;09:12;16;92;0;0;1
05-05-21;09:42;17;92;0;1;1
05-05-21;10:12;18;93;1;1;1
05-05-21;10:42;18;93;1;1;1
05-05-21;11:12;19;93;1;1;1
05-05-21;11:42;19;93;1;1;1
05-05-21;12:12;20;92;1;1;1
05-05-21;12:42;20;91;1;1;1
05-05-21;13:12;20;93;1;1;1
05-05-21;13:42;23;71;1;1;1
05-05-21;14:12;22;75;1;1;1
05-05-21;14:42;21;77;1;1;1
05-05-21;15:12;21;74;1;1;1
05-05-21;15:42;21;74;1;1;1
05-05-21;16:12;21;75;1;1;1
05-05-21;16:42;22;75;1;1;1
05-05-21;17:12;22;78;1;1;1
05-05-21;17:42;22;83;1;1;1
05-05-21;18:12;21;87;1;1;1
05-05-21;18:42;21;89;1;1;1
05-05-21;19:13;21;88;1;1;1
05-05-21;19:43;21;88;1;1;1
05-05-21;20:13;21;93;1;1;0
05-05-21;20:43;21;94;1;1;0
05-05-21;21:13;21;94;1;1;0
05-05-21;21:43;21;94;1;1;0
05-05-21;22:13;21;94;1;1;0
05-05-21;22:43;21;94;1;1;0
05-05-21;23:13;21;94;1;1;0
05-05-21;23:43;21;94;1;1;0
